block,intent,user_phrase,slots,bot_action,good_reply,bad_reply_guard
greeting,greet,Привет,{},reply_greeting,Привет!,Не предлагать случайный товар
greeting,greet,Здравствуйте,{},reply_greeting,Привет👋,Не отвечать одинаково на все приветствия
greeting,greet,Привет,{},reply_greeting,Привет! | Привет👋,Не предлагать случайный товар
greeting,greet,Здравствуйте,{},reply_greeting,Здравствуйте! | Здравствуйте 👋 | Добрый день!,Не отвечать одинаково на все приветствия
greeting,greet,Добрый день,{},reply_greeting,Здравствуйте,Не отвечать одним словом
greeting,greet,Доброго дня,{},reply_greeting,Здравствуйте!,Не звучать как робот
greeting,greet,Есть кто?,{},reply_greeting,"Да, конечно!
Мы на на связи",Не запускать поиск по каталогу
discovery,find_product,Нужен хороший холодильник,{category: refrigerator},search_main_products,"Отлично, у вас есть конкретная модель, которая нужна, или надо подобрать варианты? | Что именно надо, ищете по бренду(производителю) или по качеству=цене? | Чтобы подобрать варианты, надо больше от вас информации. | Какой бренд, цвет, высота, нужен дисплей или нет, NoFrost (Нофрост) или нет, компрессор инвертор или обычный?",Не показывать поглотители запаха или аксессуары
discovery,find_product,Беко есть холодильники?,"{category: refrigerator, brand: beko}",normalize_brand_then_search,"Есть, какой нужен? | У нас много холодильников BEKO(Беко), на какой скинуть цену? | По Беко(BEKO) вариантов много, нужны параметры на какой скинуть цену | Как раз недавно был большой приход, на какую модель скинуть цену?",Не игнорировать кириллицу Беко
discovery,find_product,бе4о есть холодильники?,"{category: refrigerator, brand: beko}",normalize_brand_then_search,"Видимо вы ошиблись, наверно беко(BEKO)? | Вы имели ввиду беко(BEKO) ? | Скорее всего беко(BEKO), да у на есть в наличии холодильники беко",Не искать по сырой опечатке
qualification,find_product,Нужен холодильник белый no frost,"{category: refrigerator, color: white, feature: no_frost}",search_with_slots,"Что-то уже присмотрели? Или надо помочь с выбором? | какая высота нужна? и нужен ли дисплей? Какой цвет? | У нас есть варианты, но надо больше информации от вас | Что-то недорогое или цена=качество? | Есть предпочтения по брендам(производителям)?",Не показывать не-No-Frost без пометки
qualification,find_product,Кондиционер на 35 квадратов,"{category: conditioner, area_m2: 35, btu: 12}",map_area_to_btu_then_search,"Что подбираете Он-офф или Инвертор? | У нас есть много вариантов на 35м², на какой бюджет рассчитывать? | Есть предпочтение по заводу изготовителю? |",Не воспринимать 35 как номер позиции
qualification,find_product,Кондер нужен 12й инвертор,"{category: conditioner, btu: 12, inverter: true}",search_with_required_slots,Что смотрим по цене или качеству? | Нужен конкретный производитель или скинуть варианты? | Сейчас скину варианты,Не показывать on/off и расходники
qualification,find_product,Телевизор 32 диагональ есть?,"{category: tv, diagonal: 32}",search_with_slots,"Есть, что смотреть? Недорогие? | Да ,есть, что именно надо? | Есть, сейчас скину варианты",Не показывать кронштейны и пульты
qualification,find_product,Чайник до 800 рублей,"{category: kettle, price_max: 800}",search_with_price,"Какой нужен металл или стекло? | Есть много, накидать варианты? | По чайникам всегда большой ассортимент, сейчас скину, что есть в этом ценовом диапазоне",Не показывать весь каталог
qualification,find_product,Генератор инверторный до 30000,"{category: generator, inverter: true, price_max: 30000}",search_with_required_slots,"Есть, скину сейчас какие остались | Нужен инверторный или нет? | Есть, несколько вариантов, сейчас скину | Нужен закрытого типа или открытого?",Не показывать AVR и блоки автопуска
qualification,find_product,Нужен бойлер с сухим тэном,"{category: water_heater, heater: dry}",search_with_required_slots,"Что смотрим по цене или качеству? | Есть несколько вариантов, сейчас вышлю | А какой литраж нужен - 50,80 или 100? | Нужен плоский или стандартный круглый? И на сколько литров?",Не показывать бойлеры без сухого тэна
qualification,find_product,Стиралка на 8 кг,"{category: washing_machine, load_kg: 8}",search_with_slots,"Сейчас скину что есть. | Гляну что осталось и отпишусь. | Есть несколько вариантов, сейчас скину",Не воспринимать 8 кг как номер позиции
listing,show_results,Покажи варианты,{page_size: 5},show_first_page,"Я с удовольствием, но надо понять что именно | Варианты чего показать? | Уточните что именно показать",Не показывать 12-50 позиций сразу
more,show_more,Еще,{},show_next_page,"Сейчас гляну что есть еще | Да, конечно, сейчас скину. | Пару минут скину еще",Не начинать новый поиск
listing,ask_recommendation,А что посоветуешь из этих?,{},recommend_from_last_shown,"Это смотря какая цель преследуется? Если для себя, то вот такой вариант я бы взял себя | Вот на этот очень хорошая сейчас цена | Этот вариант идеально по цене и каяеству",Не уходить в новый каталог
selection,select_position,3 позицию,{position: 3},select_from_last_shown,Принято | Ставлю в заказ | Какое количество ставить? | Бронируем? Сколько надо? | Что хотите узнать о товаре? или заказать?,Не выбирать из старого списка
selection,select_position,Беру последний,{position: last},select_from_last_shown,"Договорились, ставлю в заказ👌 | Сколько ставить 1,2,3 ?? | Хорошо, добавляю в заказ | Без проблем, ставлю.",Не запускать новый поиск
selection,select_position,Ставь заказ на 12 позицию,{position: 12},select_from_last_shown,"Хорошо, поставил | Какое количество ставить? | Сколько штук?",Не выбирать позицию не из последнего списка
checkout,provide_quantity,1 шт,{quantity: 1},save_quantity_ask_contact,"Хорошо, ставлю 1шт. | Цена на эту позицию сейчас хорошая, добавить еще ? | Договорились, сделаю","Не воспринимать 1 как новый выбор, если товар уже выбран"
checkout,provide_contact,897883334455 Петя,"{contact: 897883334455, name: Петя}",create_order_if_ready,"Номер записал, позже наберём для подтверждения резерва |  Принято, созвонимся",Не искать товар по телефону
checkout,buy_intent,Меня устраивает генератор за 9000,"{category: generator, price: 9000}",confirm_product_then_checkout,"Отлично, тогда ставлю в заказ | Хорошо, бронирую. | В заказ поставил, что еще добавить надо будет?",Не оформлять без точной позиции
complaint,complaint,Что ты мне шлешь,{complaint: true},apologize_and_recover,"Извините, не туда) | Ошибочно | Случайно, не обращайте внимания, спасибо за понимание",Не выдавать новый каталог
complaint,complaint,"Какой топпер, я холодильник заказываю","{complaint: true, category: refrigerator}",recover_context,"Честно, ошибочно скопировал и скинул, недосмотрел | Да, я вижу, просто параллельно другому человеку скидывал и сюда тоже скопировалось, извините) | Опечатка, как и договаривались ставлю холодильник!",Не просить модель без исправления ошибки
